一;one;ichi, itsu;hito-tsu
視;look at;shi;mi-ru
覧;perusal;ran
討;chastise;tō;u-tsu
訪;visit;hō;otozu-reru
訳;translate;yaku;wake
詞;poetry;shi;kotoba
誌;document;shi
認;recognize;nin;mito-meru
誕;born;tan
誠;sincerity;sei;makoto
誤;mistake;go;ayama-ru
論;theory;ron
諸;various;sho;moro
警;admonish;kei;imashi-meru
貴;precious;ki;tatto-i
賃;fare;chin
遺;bequeath;i
郵;mail;yū
郷;home town;kyō;gō
針;needle;shin;hari
鋼;steel;kō;hagane
閉;closed;hei;shi-meru
閣;tall;kaku
降;descend;kō;o-riru
陛;majesty;hei
除;exclude;jo or ji;nozo-ku
障;hurt;shō;sawa-ru
難;difficult;nan;muzuka-shii
革;leather;kaku;kawa
頂;place on the head;chō;itada-ku
骨;bone;kotsu;hone
